,Total Upvotes,Time Stamp,Total Comments,Upvote Ratio,Submission #ID
42,27232,1484850713.0,14,0.74,5oyaqx
176,19935,1484850736.0,21,0.79,5oyatn
114,22046,1484853451.0,910,0.74,5oylcv
666,15465,1484854183.0,24,0.8,5oyo8w
536,16108,1484863028.0,4384,0.78,5ozomf
307,18013,1484866716.0,128,0.71,5p02fu
380,17299,1484876923.0,454,0.52,5qlxfn
258,18451,1484909877.0,426,0.52,5p39xx
338,17763,1484913070.0,20,0.71,5p3giq
255,18476,1484913072.0,17,0.69,5p3gix
220,18968,1484913075.0,18,0.66,5p3gja
284,18129,1484913077.0,29,0.6,5p3gje
615,15639,1484913079.0,95,0.53,5p3gjj
483,16512,1484913972.0,74,0.84,5p3iia
39,27821,1484917141.0,546,0.6,5p3q8c
188,19565,1484922601.0,50,0.68,5p464d
219,18981,1484922602.0,50,0.63,5p464o
264,18402,1484922604.0,327,0.56,5p464u
298,18059,1484927705.0,308,0.8,5p4nfy
480,16513,1484930262.0,18,0.75,5p4wpq
415,17040,1484930264.0,11,0.7,5p4wpy
390,17240,1484930265.0,34,0.72,5xb7dq
63,24978,1484931653.0,2335,0.53,5p51wt
695,15350,1484931664.0,107,0.68,5p51yg
840,14747,1484931666.0,505,0.51,5p51yt
771,15024,1484931995.0,726,0.75,5p53ho
637,15570,1484932900.0,222,0.63,5p576f
731,15185,1484945790.0,438,0.56,5p6jtx
960,14297,1484947846.0,553,0.7,5p6r2i
75,24143,1484954276.0,1819,0.54,5p7ci1
118,21965,1484958976.0,871,0.53,5p7r71
311,17989,1484969014.0,614,0.54,5p8j18
346,17691,1485004658.0,1233,0.51,c7jzuk
419,17014,1485006095.0,1936,0.54,5panxx
500,16397,1485023578.0,1381,0.54,5pc1r2
62,25011,1485048637.0,2848,0.52,5pebjy
886,14577,1485051095.0,291,0.54,5pej0n
964,14288,1485051858.0,206,0.6,5pelcc
333,17821,1485098984.0,636,0.59,5phhmv
665,15469,1485099177.0,271,0.67,5phib7
916,14472,1485115041.0,550,0.57,5pj730
870,14622,1485124574.0,558,0.56,5pk97n
599,15727,1485167828.0,630,0.54,5pnwwj
752,15107,1485173416.0,755,0.61,5poayz
848,14711,1485177944.0,729,0.71,5poobx
35,29216,1485193992.0,1734,0.61,5pqd6o
54,25724,1485206846.0,1074,0.58,5prsn4
760,15071,1485207579.0,234,0.74,5prvhp
605,15704,1485215907.0,452,0.67,5psqbr
660,15489,1485218313.0,555,0.63,5psyv5
151,20874,1485226531.0,746,0.65,5ptorl
743,15143,1485261891.0,993,0.62,5pvwil
764,15056,1485267360.0,560,0.57,5pwbn4
955,14319,1485267939.0,386,0.87,5pwdcb
60,25021,1485273295.0,801,0.68,5pwuxi
567,15913,1485276261.0,144,0.81,5px5id
145,21026,1485294773.0,1277,0.65,5pz2uu
422,16998,1485302431.0,2161,0.54,5pztsl
384,17281,1485352041.0,693,0.52,5rxgae
873,14623,1485355576.0,1111,0.62,5q3jfk
91,22885,1485363010.0,1523,0.6,5q49nv
429,16960,1485379072.0,316,0.68,5q5yzu
286,18127,1485383928.0,846,0.52,5q6gqu
250,18537,1485388724.0,1456,0.58,5q6x7q
652,15524,1485412267.0,446,0.64,5q8swf
513,16315,1485430572.0,628,0.59,5q9pdm
375,17356,1485446086.0,975,0.63,5v66la
225,18873,1485457131.0,820,0.53,5qc1m8
745,15130,1485463259.0,3699,0.51,5qcohp
947,14334,1485474995.0,847,0.52,5qdu36
606,15698,1485481035.0,1015,0.57,5qedb1
723,15209,1485528689.0,329,0.68,5qhhtn
282,18168,1485533109.0,523,0.62,5qhwnb
986,14224,1485562442.0,447,0.64,5qkqjz
379,17298,1485578608.0,711,0.64,4hrxtu
318,17929,1485605633.0,579,0.59,5qnba5
911,14491,1485619925.0,977,0.86,5qoabq
489,16474,1485640680.0,1186,0.52,5qq6hi
823,14792,1485690035.0,222,0.75,5qterx
388,17256,1485699192.0,785,0.87,6bexhk
832,14760,1485704760.0,233,0.7,5quc11
732,15173,1485706562.0,402,0.76,5quhd3
612,15671,1485724447.0,618,0.82,5qw6wh
854,14667,1485728555.0,669,0.56,5qwltm
159,20690,1485744621.0,344,0.85,5qy550
